,time,value
1068,03:32:00,57
1069,03:32:10,56
1070,03:32:20,58
1071,03:32:30,59
1072,03:32:40,61
1073,03:32:50,60
1074,03:33:00,59
1075,03:33:15,59
1076,03:33:20,59
1077,03:33:30,61
1078,03:33:40,61
1079,03:33:50,59
1080,03:34:00,56
1081,03:34:10,56
1082,03:34:20,57
1083,03:34:30,58
1084,03:34:40,56
1085,03:34:50,55
1086,03:35:00,54
1087,03:35:10,54
1088,03:35:20,56
1089,03:35:30,56
1090,03:35:40,56
1091,03:35:50,56
1092,03:36:00,59
1093,03:36:10,59
1094,03:36:25,59
1095,03:36:30,58
1096,03:36:40,58
1097,03:36:50,59
1098,03:37:00,61
1099,03:37:10,62
1100,03:37:15,60
1101,03:37:30,60
1102,03:37:45,60
1103,03:37:50,61
1104,03:38:00,68
1105,03:38:10,62
1106,03:38:20,58
1107,03:38:25,59
1108,03:38:30,60
1109,03:38:40,63
1110,03:38:50,56
1111,03:39:00,57
1112,03:39:10,60
1113,03:39:25,60
1114,03:39:30,60
1115,03:39:40,62
1116,03:39:55,62
1117,03:40:00,63
1118,03:40:10,65
1119,03:40:20,65
1120,03:40:30,61
1121,03:40:40,58
1122,03:40:55,58
1123,03:41:00,58
1124,03:41:15,58
1125,03:41:20,60
1126,03:41:30,62
1127,03:41:40,61
1128,03:41:50,58
1129,03:42:00,57
1130,03:42:10,58
1131,03:42:20,56
1132,03:42:30,61
1133,03:42:40,60
1134,03:42:50,62
1135,03:43:00,64
1136,03:43:10,60
1137,03:43:20,59
1138,03:43:30,60
1139,03:43:40,61
1140,03:43:50,64
1141,03:44:00,65
1142,03:44:10,65
1143,03:44:20,64
1144,03:44:35,64
1145,03:44:40,60
1146,03:44:55,60
1147,03:45:00,61
1148,03:45:10,63
1149,03:45:25,63
1150,03:45:30,61
1151,03:45:40,59
1152,03:45:50,60
1153,03:46:00,62
1154,03:46:10,57
1155,03:46:25,57
1156,03:46:30,60
1157,03:46:45,60
1158,03:46:50,61
1159,03:47:05,61
1160,03:47:10,59
1161,03:47:25,59
1162,03:47:30,62
1163,03:47:40,61
1164,03:47:50,58
1165,03:48:00,59
1166,03:48:15,59
1167,03:48:20,58
1168,03:48:35,58
1169,03:48:50,60
1170,03:49:00,56
1171,03:49:10,59
1172,03:49:20,59
1173,03:49:30,58
1174,03:49:40,58
1175,03:49:50,55
1176,03:50:00,54
1177,03:50:10,56
1178,03:50:20,57
1179,03:50:30,59
1180,03:50:40,58
1181,03:50:50,59
1182,03:51:00,56
1183,03:51:10,55
1184,03:51:25,55
1185,03:51:30,58
1186,03:51:40,55
1187,03:51:55,55
1188,03:52:00,56
1189,03:52:10,58
1190,03:52:25,58
1191,03:52:30,57
1192,03:52:45,57
1193,03:52:50,56
1194,03:53:05,56
1195,03:53:10,58
1196,03:53:25,58
1197,03:53:40,58
1198,03:53:50,59
1199,03:54:00,57
1200,03:54:10,56
1201,03:54:20,57
1202,03:54:35,57
1203,03:54:40,55
1204,03:54:55,55
1205,03:55:00,56
1206,03:55:10,58
1207,03:55:25,58
1208,03:55:40,58
1209,03:55:50,59
1210,03:56:00,58
1211,03:56:15,58
1212,03:56:30,55
1213,03:56:40,56
1214,03:56:50,57
1215,03:57:00,58
1216,03:57:15,58
1217,03:57:20,59
1218,03:57:30,56
1219,03:57:40,57
1220,03:57:50,56
1221,03:58:00,57
1222,03:58:10,59
1223,03:58:20,58
1224,03:58:30,56
1225,03:58:40,57
1226,03:58:50,57
1227,03:59:00,58
1228,03:59:10,57
1229,03:59:25,57
1230,03:59:40,60
1231,03:59:50,58
1232,04:00:00,56
1233,04:00:10,57
1234,04:00:20,56
1235,04:00:30,57
1236,04:00:40,58
1237,04:00:50,59
1238,04:01:00,58
1239,04:01:10,57
1240,04:01:20,56
1241,04:01:35,56
1242,04:01:50,56
1243,04:01:55,56
1244,04:02:05,57
1245,04:02:15,56
1246,04:02:20,57
1247,04:02:30,56
1248,04:02:40,54
1249,04:02:55,54
1250,04:03:00,57
1251,04:03:10,54
1252,04:03:20,55
1253,04:03:30,54
1254,04:03:40,53
1255,04:03:50,54
1256,04:04:00,56
1257,04:04:10,55
1258,04:04:20,54
1259,04:04:35,54
1260,04:04:40,55
1261,04:04:50,54
1262,04:05:05,54
1263,04:05:20,53
1264,04:05:35,53
1265,04:05:40,55
1266,04:05:50,54
1267,04:06:00,53
1268,04:06:10,54
1269,04:06:20,55
1270,04:06:30,54
1271,04:06:45,54
1272,04:06:50,53
1273,04:07:00,54
1274,04:07:15,54
1275,04:07:30,54
1276,04:07:40,55
1277,04:07:55,55
1278,04:08:00,53
1279,04:08:15,53
1280,04:08:20,54
1281,04:08:30,55
1282,04:08:40,54
1283,04:08:55,54
1284,04:09:00,53
1285,04:09:15,53
1286,04:09:20,52
1287,04:09:30,54
1288,04:09:40,53
1289,04:09:50,54
1290,04:10:00,56
1291,04:10:10,55
1292,04:10:20,54
1293,04:10:35,54
1294,04:10:40,53
1295,04:10:55,53
1296,04:11:00,54
1297,04:11:10,55
1298,04:11:20,54
1299,04:11:35,54
1300,04:11:50,55
1301,04:12:00,54
1302,04:12:15,54
1303,04:12:20,53
1304,04:12:30,54
1305,04:12:40,55
1306,04:12:50,54
1307,04:13:00,53
1308,04:13:15,53
1309,04:13:30,55
1310,04:13:40,56
1311,04:13:45,56
1312,04:13:55,57
1313,04:14:00,58
1314,04:14:05,58
1315,04:14:10,60
1316,04:14:15,61
1317,04:14:20,63
1318,04:14:25,66
1319,04:14:30,64
1320,04:14:35,64
1321,04:14:40,62
1322,04:14:45,57
1323,04:14:50,56
1324,04:15:05,55
1325,04:15:10,56
1326,04:15:20,55
1327,04:15:30,54
1328,04:15:45,54
1329,04:16:00,55
1330,04:16:15,55
1331,04:16:20,54
1332,04:16:30,53
1333,04:16:45,53
1334,04:16:50,53
1335,04:17:05,53
1336,04:17:10,51
1337,04:17:25,51
1338,04:17:40,50
1339,04:17:50,51
1340,04:18:00,52
1341,04:18:15,52
1342,04:18:30,51
1343,04:18:45,51
1344,04:19:00,51
1345,04:19:15,51
1346,04:19:20,52
1347,04:19:35,52
1348,04:19:50,50
1349,04:20:00,51
1350,04:20:15,51
1351,04:20:20,50
1352,04:20:30,51
1353,04:20:40,52
1354,04:20:50,51
1355,04:21:05,51
1356,04:21:10,50
1357,04:21:25,50
1358,04:21:30,51
1359,04:21:40,52
1360,04:21:55,52
1361,04:22:00,52
1362,04:22:10,51
1363,04:22:20,49
1364,04:22:35,49
1365,04:22:50,50
1366,04:23:00,51
1367,04:23:10,50
1368,04:23:20,51
1369,04:23:35,51
1370,04:23:50,50
1371,04:24:00,51
1372,04:24:10,50
1373,04:24:20,51
1374,04:24:35,51
1375,04:24:40,52
1376,04:24:55,52
1377,04:25:10,52
1378,04:25:20,51
1379,04:25:30,52
1380,04:25:45,52
1381,04:26:00,52
1382,04:26:10,53
1383,04:26:20,52
1384,04:26:30,51
1385,04:26:45,51
1386,04:26:50,52
1387,04:27:00,50
1388,04:27:10,50
1389,04:27:25,50
1390,04:27:30,51
1391,04:27:40,50
1392,04:27:50,54
1393,04:28:00,53
1394,04:28:10,52
1395,04:28:20,51
1396,04:28:35,51
1397,04:28:50,52
1398,04:29:05,52
1399,04:29:10,51
1400,04:29:25,51
1401,04:29:40,53
1402,04:29:50,52
1403,04:30:00,51
1404,04:30:15,51
1405,04:30:30,51
1406,04:30:40,52
1407,04:30:55,52
1408,04:31:10,51
1409,04:31:20,51
1410,04:31:30,52
1411,04:31:45,52
1412,04:32:00,52
1413,04:32:10,51
1414,04:32:25,51
1415,04:32:30,52
1416,04:32:40,51
1417,04:32:55,51
1418,04:33:00,52
1419,04:33:15,52
1420,04:33:20,51
1421,04:33:30,54
1422,04:33:45,54
1423,04:33:50,53
1424,04:34:05,53
1425,04:34:20,51
1426,04:34:35,51
1427,04:34:50,52
1428,04:35:00,54
1429,04:35:15,54
1430,04:35:20,55
1431,04:35:30,54
1432,04:35:40,53
1433,04:35:50,52
1434,04:36:05,52
1435,04:36:10,53
1436,04:36:20,52
1437,04:36:30,51
1438,04:36:45,51
1439,04:36:50,52
1440,04:37:05,52
1441,04:37:20,51
1442,04:37:30,52
1443,04:37:45,52
1444,04:38:00,53
1445,04:38:10,54
1446,04:38:20,53
1447,04:38:30,52
1448,04:38:45,52
1449,04:38:50,53
1450,04:39:00,52
1451,04:39:15,52
1452,04:39:20,53
1453,04:39:35,53
1454,04:39:50,52
1455,04:40:00,54
1456,04:40:15,54
1457,04:40:30,54
1458,04:40:35,55
1459,04:40:45,61
1460,04:40:50,63
1461,04:41:00,69
1462,04:41:10,66
1463,04:41:20,63
1464,04:41:35,63
1465,04:41:40,64
1466,04:41:50,60
1467,04:42:00,55
1468,04:42:10,52
1469,04:42:20,51
1470,04:42:30,52
1471,04:42:40,54
1472,04:42:50,53
1473,04:43:00,52
1474,04:43:15,52
1475,04:43:20,55
1476,04:43:30,53
1477,04:43:45,53
1478,04:44:00,53
